success,code,data,responseTimestamp,subfolder,subsubfolder
True,SUCCESS,"{'aggregated': {'registeredUsers': 115736, 'appOpens': 26285520}, 'usersByDevice': None}",1692619303608,bihar,state
True,SUCCESS,"{'aggregated': {'registeredUsers': 110991, 'appOpens': 14522495}, 'usersByDevice': None}",1692619121458,bihar,state
True,SUCCESS,"{'aggregated': {'registeredUsers': 97517, 'appOpens': 14768129}, 'usersByDevice': None}",1669732292037,bihar,state
True,SUCCESS,"{'aggregated': {'registeredUsers': 102299, 'appOpens': 19734781}, 'usersByDevice': None}",1669732423441,bihar,state
True,SUCCESS,"{'aggregated': {'registeredUsers': 92492, 'appOpens': 8902080}, 'usersByDevice': [{'brand': 'Xiaomi', 'count': 24460, 'percentage': 0.2644553042425291}, {'brand': 'Vivo', 'count': 20679, 'percentage': 0.22357609306750853}, {'brand': 'Samsung', 'count': 14554, 'percentage': 0.15735414954806903}, {'brand': 'Oppo', 'count': 13813, 'percentage': 0.14934264585045193}, {'brand': 'Realme', 'count': 7852, 'percentage': 0.08489382865545128}, {'brand': 'OnePlus', 'count': 2984, 'percentage': 0.03226224970808286}, {'brand': 'Apple', 'count': 2655, 'percentage': 0.028705185313324395}, {'brand': 'Huawei', 'count': 996, 'percentage': 0.01076849889720192}, {'brand': 'Motorola', 'count': 921, 'percentage': 0.009957617956147559}, {'brand': 'Lenovo', 'count': 502, 'percentage': 0.00542749643212386}, {'brand': 'Others', 'count': 3076, 'percentage': 0.03325693032910954}]}",1651127658910,bihar,state
True,SUCCESS,"{'aggregated': {'registeredUsers': 106337, 'appOpens': 3832339}, 'usersByDevice': None}",1674558302224,bihar,state
True,SUCCESS,"{'aggregated': {'registeredUsers': 75048, 'appOpens': 4391632}, 'usersByDevice': [{'brand': 'Xiaomi', 'count': 21227, 'percentage': 0.2828456454535764}, {'brand': 'Vivo', 'count': 16463, 'percentage': 0.2193662722524251}, {'brand': 'Samsung', 'count': 13134, 'percentage': 0.1750079948832747}, {'brand': 'Oppo', 'count': 11029, 'percentage': 0.14695927939452083}, {'brand': 'Realme', 'count': 4715, 'percentage': 0.06282645773371709}, {'brand': 'Apple', 'count': 1823, 'percentage': 0.024291120349642894}, {'brand': 'OnePlus', 'count': 1741, 'percentage': 0.023198486302099988}, {'brand': 'Motorola', 'count': 922, 'percentage': 0.012285470632128771}, {'brand': 'Huawei', 'count': 894, 'percentage': 0.011912376079309242}, {'brand': 'Lenovo', 'count': 490, 'percentage': 0.006529154674341755}, {'brand': 'Others', 'count': 2610, 'percentage': 0.034777742244963224}]}",1630501500350,bihar,state
True,SUCCESS,"{'aggregated': {'registeredUsers': 81210, 'appOpens': 7099550}, 'usersByDevice': [{'brand': 'Xiaomi', 'count': 22384, 'percentage': 0.27563107991626645}, {'brand': 'Vivo', 'count': 18124, 'percentage': 0.22317448590075115}, {'brand': 'Samsung', 'count': 13661, 'percentage': 0.1682181997290974}, {'brand': 'Oppo', 'count': 12095, 'percentage': 0.14893486023888683}, {'brand': 'Realme', 'count': 5579, 'percentage': 0.0686984361531831}, {'brand': 'OnePlus', 'count': 2176, 'percentage': 0.02679472971308952}, {'brand': 'Apple', 'count': 2004, 'percentage': 0.02467676394532693}, {'brand': 'Huawei', 'count': 1013, 'percentage': 0.01247383327176456}, {'brand': 'Motorola', 'count': 910, 'percentage': 0.011205516561999754}, {'brand': 'Lenovo', 'count': 476, 'percentage': 0.005861347124738333}, {'brand': 'Others', 'count': 2788, 'percentage': 0.03433074744489595}]}",1634575143811,bihar,state
True,SUCCESS,"{'aggregated': {'registeredUsers': 69919, 'appOpens': 1184204}, 'usersByDevice': [{'brand': 'Xiaomi', 'count': 20199, 'percentage': 0.28889143151360863}, {'brand': 'Vivo', 'count': 15183, 'percentage': 0.21715127504683993}, {'brand': 'Samsung', 'count': 12232, 'percentage': 0.17494529384001486}, {'brand': 'Oppo', 'count': 10382, 'percentage': 0.148486105350477}, {'brand': 'Realme', 'count': 3940, 'percentage': 0.056350920350691516}, {'brand': 'Apple', 'count': 1613, 'percentage': 0.023069551910067362}, {'brand': 'OnePlus', 'count': 1531, 'percentage': 0.02189676625809866}, {'brand': 'Huawei', 'count': 941, 'percentage': 0.013458430469543328}, {'brand': 'Motorola', 'count': 924, 'percentage': 0.013215291980720549}, {'brand': 'Lenovo', 'count': 520, 'percentage': 0.007437177305167408}, {'brand': 'Others', 'count': 2454, 'percentage': 0.03509775597477081}]}",1630501499863,bihar,state
True,SUCCESS,"{'aggregated': {'registeredUsers': 87057, 'appOpens': 2665203}, 'usersByDevice': [{'brand': 'Xiaomi', 'count': 23462, 'percentage': 0.2695015909117015}, {'brand': 'Vivo', 'count': 19473, 'percentage': 0.22368103656225233}, {'brand': 'Samsung', 'count': 14073, 'percentage': 0.16165271029325615}, {'brand': 'Oppo', 'count': 12900, 'percentage': 0.14817877942037974}, {'brand': 'Realme', 'count': 6879, 'percentage': 0.07901719563044901}, {'brand': 'OnePlus', 'count': 2678, 'percentage': 0.030761455138587364}, {'brand': 'Apple', 'count': 2358, 'percentage': 0.027085702470794996}, {'brand': 'Huawei', 'count': 958, 'percentage': 0.011004284549203396}, {'brand': 'Motorola', 'count': 912, 'percentage': 0.010475895103208243}, {'brand': 'Lenovo', 'count': 449, 'percentage': 0.005157540461996163}, {'brand': 'Others', 'count': 2915, 'percentage': 0.03348380945817108}]}",1643295758779,bihar,state
