AppOpenings,Quarter,Registered Users,State,Year
0.0,1,6740.0,andaman-&-nicobar-islands,2018
0.0,2,9405.0,andaman-&-nicobar-islands,2018
0.0,3,12149.0,andaman-&-nicobar-islands,2018
0.0,4,15222.0,andaman-&-nicobar-islands,2018
0.0,1,18596.0,andaman-&-nicobar-islands,2019
52640.0,2,21731.0,andaman-&-nicobar-islands,2019
171107.0,3,23931.0,andaman-&-nicobar-islands,2019
177012.0,4,25960.0,andaman-&-nicobar-islands,2019
193586.0,1,28368.0,andaman-&-nicobar-islands,2020
305072.0,2,32710.0,andaman-&-nicobar-islands,2020
515565.0,3,41335.0,andaman-&-nicobar-islands,2020
887208.0,4,52396.0,andaman-&-nicobar-islands,2020
1004336.0,1,57758.0,andaman-&-nicobar-islands,2021
2248223.0,2,62095.0,andaman-&-nicobar-islands,2021
3121625.0,3,66982.0,andaman-&-nicobar-islands,2021
2112910.0,4,71780.0,andaman-&-nicobar-islands,2021
3847407.0,1,76288.0,andaman-&-nicobar-islands,2022
5180013.0,2,80530.0,andaman-&-nicobar-islands,2022
6068354.0,3,84642.0,andaman-&-nicobar-islands,2022
4354093.0,4,88442.0,andaman-&-nicobar-islands,2022
0.0,1,3336450.0,andhra-pradesh,2018
0.0,2,4402540.0,andhra-pradesh,2018
0.0,3,5427617.0,andhra-pradesh,2018
0.0,4,6857409.0,andhra-pradesh,2018
0.0,1,8283019.0,andhra-pradesh,2019
81375251.0,2,9389003.0,andhra-pradesh,2019
310953542.0,3,10458693.0,andhra-pradesh,2019
411201518.0,4,11757883.0,andhra-pradesh,2019
486513773.0,1,13022060.0,andhra-pradesh,2020
494341698.0,2,14319675.0,andhra-pradesh,2020
696300382.0,3,15692405.0,andhra-pradesh,2020
869078538.0,4,17076565.0,andhra-pradesh,2020
957709447.0,1,18363733.0,andhra-pradesh,2021
1044705436.0,2,19620905.0,andhra-pradesh,2021
1258536879.0,3,21059898.0,andhra-pradesh,2021
1447717601.0,4,22489029.0,andhra-pradesh,2021
1254785973.0,1,23857951.0,andhra-pradesh,2022
1378736856.0,2,25157264.0,andhra-pradesh,2022
1357005703.0,3,26496330.0,andhra-pradesh,2022
1673374802.0,4,27778016.0,andhra-pradesh,2022
0.0,1,21495.0,arunachal-pradesh,2018
0.0,2,32883.0,arunachal-pradesh,2018
0.0,3,45922.0,arunachal-pradesh,2018
0.0,4,61852.0,arunachal-pradesh,2018
0.0,1,76957.0,arunachal-pradesh,2019
502873.0,2,95885.0,arunachal-pradesh,2019
1811700.0,3,112149.0,arunachal-pradesh,2019
2140340.0,4,129321.0,arunachal-pradesh,2019
2598321.0,1,149066.0,arunachal-pradesh,2020
3387006.0,2,177534.0,arunachal-pradesh,2020
4003421.0,3,206046.0,arunachal-pradesh,2020
4472667.0,4,231292.0,arunachal-pradesh,2020
4796708.0,1,251240.0,arunachal-pradesh,2021
13025849.0,2,270572.0,arunachal-pradesh,2021
17209654.0,3,293073.0,arunachal-pradesh,2021
11230295.0,4,314944.0,arunachal-pradesh,2021
41418559.0,1,335339.0,arunachal-pradesh,2022
49889518.0,2,354528.0,arunachal-pradesh,2022
59722628.0,3,373372.0,arunachal-pradesh,2022
21775038.0,4,390307.0,arunachal-pradesh,2022
0.0,1,385237.0,assam,2018
0.0,2,571046.0,assam,2018
0.0,3,784802.0,assam,2018
0.0,4,1039221.0,assam,2018
0.0,1,1259085.0,assam,2019
7350326.0,2,1500128.0,assam,2019
